length_url,length_hostname,ip,nb_slash,nb_www,ratio_digits_url,nb_hyperlinks,phish_hints,longest_word_path,shortest_word_path,avg_word_path,length_words_raw,longest_words_raw,ratio_extHyperlinks,ratio_extRedirection,ratio_intHyperlinks,status
46,20,0,3,1,0.1086956519999999,143,0,5,2,3.75,6,12,0.06993007,0.0,0.93006993,1
128,120,0,3,0,0.0546875,0,2,0,0,0.0,10,35,0.0,0.0,0.0,1
52,25,0,4,1,0.0,3,0,9,3,5.666666667,5,17,0.0,0.0,1.0,1
21,13,0,3,1,0.142857143,404,0,0,0,0.0,2,5,0.037128713,0.133333333,0.962871287,0
28,19,0,3,1,0.0,57,0,0,0,0.0,2,11,0.3157894739999999,0.0,0.684210526,0
128,50,1,5,0,0.1171875,51,0,17,2,7.375,13,17,0.0,0.0,1.0,1
50,15,0,5,1,0.0,0,0,9,3,5.5,6,9,0.0,0.0,0.0,1
51,14,0,4,0,0.0,4,3,7,3,5.0,6,7,0.0,0.0,1.0,1
35,22,0,4,1,0.0,115,0,4,4,4.0,3,14,0.060869565,0.142857143,0.939130435,0
22,15,0,2,1,0.0,99,0,0,0,0.0,2,8,0.636363636,0.46031746,0.363636364,0
57,14,0,7,1,0.0,151,3,8,2,4.833333333,8,8,0.794701987,0.033333333,0.205298013,1
39,30,0,3,1,0.0,70,0,0,0,0.0,4,9,0.114285714,0.0,0.8857142859999999,0
44,18,0,4,0,0.0,0,0,7,4,5.333333333,4,11,0.0,0.0,0.0,1
56,15,0,4,1,0.071428571,39,0,24,7,15.5,4,24,0.435897436,0.0,0.564102564,0
110,30,0,6,0,0.1,26,0,46,1,10.66666667,9,46,0.884615385,0.0,0.115384615,1
40,17,0,5,1,0.0,164,0,4,1,3.0,6,9,0.3597560979999999,0.13559322,0.640243902,0
62,16,0,7,1,0.080645161,71,0,9,2,5.166666667,8,9,0.084507042,0.166666667,0.915492958,0
62,17,0,5,1,0.0161290319999999,101,0,7,3,4.285714286,9,9,0.514851485,0.153846154,0.485148515,0
69,20,0,6,0,0.0,72,1,15,3,7.4,7,15,0.7222222220000001,0.057692308,0.277777778,1
24,16,0,3,1,0.0,49,0,0,0,0.0,2,8,0.285714286,0.0,0.7142857140000001,0
45,10,1,4,0,0.222222222,0,0,12,3,8.333333332999999,5,12,0.0,0.0,0.0,1
26,17,0,3,1,0.0,308,0,0,0,0.0,2,10,0.103896104,0.0,0.896103896,0
33,24,0,3,1,0.0,23,0,0,0,0.0,2,16,0.608695652,0.0,0.3913043479999999,0
36,29,0,2,0,0.0,24,0,0,0,0.0,3,9,0.25,0.0,0.75,0
55,18,0,5,0,0.109090909,0,0,8,2,4.0,9,8,0.0,0.0,0.0,0
25,16,0,3,1,0.0,178,0,0,0,0.0,2,9,0.280898876,0.22,0.719101124,0
59,20,0,4,1,0.0,16,1,7,4,5.0,7,12,0.125,1.0,0.875,0
96,7,0,3,1,0.114583333,0,1,22,2,5.666666667,13,22,0.0,0.0,0.0,1
27,19,0,3,1,0.0,17,0,0,0,0.0,2,12,0.705882353,0.166666667,0.294117647,0
44,17,0,4,1,0.0,132,0,9,3,5.333333333,5,9,0.098484848,0.076923077,0.901515152,0
47,18,0,6,1,0.0,13,0,7,4,5.666666667,5,10,0.615384615,0.0,0.384615385,0
32,24,0,3,0,0.0,57,0,0,0,0.0,2,11,0.614035088,0.142857143,0.3859649120000001,0
46,17,0,4,1,0.0,14,0,11,8,9.5,4,11,0.5,0.0,0.5,0
56,18,0,4,0,0.0,267,0,12,7,9.333333333,5,12,0.041198502,0.727272727,0.958801498,0
50,15,0,5,1,0.0,80,0,9,2,5.75,6,9,0.05,0.0,0.95,0
53,35,1,4,0,0.264150943,21,0,5,3,4.0,6,18,0.80952381,0.176470588,0.19047619,1
68,59,0,3,0,0.088235294,4,0,0,0,0.0,11,7,0.25,0.0,0.75,1
45,21,0,5,1,0.0,62,0,8,5,6.5,4,13,0.370967742,0.434782609,0.629032258,0
68,18,0,5,1,0.0,11,1,5,2,3.777777778,11,7,0.0,0.0,1.0,1
61,24,0,6,1,0.0,0,1,8,1,5.0,7,16,0.0,0.0,0.0,1
94,20,0,4,0,0.074468085,42,0,23,2,8.428571429,9,23,0.095238095,0.0,0.904761905,1
31,22,0,3,0,0.0,768,0,0,0,0.0,2,9,0.0703125,0.2037037039999999,0.9296875,0
71,11,0,8,0,0.0,4,3,9,1,5.625,9,9,0.0,0.0,1.0,1
50,15,0,5,1,0.0,261,0,12,2,6.0,6,12,0.122605364,0.71875,0.8773946359999999,0
92,22,1,8,0,0.141304348,11,3,32,2,9.333333333,7,32,0.0,0.0,1.0,1
78,17,0,6,1,0.0,70,0,11,2,6.571428571,9,11,0.128571429,0.0,0.8714285709999999,0
69,20,1,3,0,0.3913043479999999,23,0,40,40,40.0,3,40,0.130434783,0.0,0.869565217,1
78,69,1,3,0,0.115384615,0,0,0,0,0.0,6,36,0.0,0.0,0.0,1
27,18,0,3,1,0.0,331,0,0,0,0.0,2,11,0.054380665,0.111111111,0.945619335,0
73,16,1,7,1,0.123287671,1,0,9,1,4.333333333,11,9,0.0,0.0,1.0,1
75,18,0,5,0,0.0,1,0,8,3,5.125,9,14,0.0,0.0,1.0,1
84,13,1,5,1,0.333333333,0,0,9,1,3.923076923,15,9,0.0,0.0,0.0,0
127,50,1,5,0,0.149606299,51,0,17,2,7.375,13,17,0.0,0.0,1.0,1
75,17,0,7,1,0.0,249,0,12,2,7.5,8,12,0.1927710839999999,0.1041666669999999,0.8072289159999999,0
36,7,0,4,0,0.0,73,0,7,5,6.0,4,7,0.1643835619999999,0.666666667,0.835616438,0
24,15,0,3,1,0.0,37,0,0,0,0.0,2,7,0.567567568,0.142857143,0.432432432,0
58,16,0,4,0,0.0172413789999999,227,0,8,2,4.666666667,8,9,0.088105727,0.25,0.911894273,0
142,34,0,7,0,0.028169014,19,0,17,1,7.909090909,14,17,0.263157895,0.0,0.736842105,1
67,21,0,3,0,0.0,266,0,11,4,6.8,7,11,0.248120301,0.0,0.7518796990000001,0
42,19,0,5,0,0.0,0,1,5,3,4.0,5,8,0.0,0.0,0.0,1
52,16,0,3,1,0.115384615,0,0,12,3,6.25,6,12,0.0,0.0,0.0,1
49,24,0,3,1,0.0,66,0,12,4,8.0,4,16,0.045454545,0.0,0.954545455,0
101,15,0,7,0,0.108910891,25,0,34,1,12.0,8,34,0.56,0.0,0.44,1
81,31,0,4,0,0.0,80,0,11,4,7.4,7,22,0.625,0.02,0.375,0
132,16,1,4,0,0.03030303,9,0,43,2,16.83333333,8,43,1.0,0.0,0.0,1
30,22,0,2,1,0.0,12,0,0,0,0.0,2,15,0.083333333,1.0,0.916666667,0
31,17,0,4,0,0.0,65,0,5,5,5.0,2,13,0.8307692309999999,0.111111111,0.1692307689999999,0
46,16,0,4,0,0.0,663,0,8,4,6.333333333,5,9,0.0497737559999999,0.606060606,0.950226244,0
78,17,1,6,0,0.08974359,157,0,7,3,4.888888889,11,7,0.0127388539999999,1.0,0.987261146,0
21,13,0,3,1,0.0,235,0,0,0,0.0,2,6,0.0170212769999999,0.25,0.982978723,0
52,11,0,5,0,0.076923077,15,0,11,2,5.8,6,11,0.333333333,0.2,0.666666667,1
74,14,1,3,1,0.148648649,5,0,11,2,4.2,12,11,0.6,0.666666667,0.4,0
108,25,0,6,1,0.037037037,10,3,23,2,6.6,12,23,0.1,0.0,0.9,1
125,50,1,4,0,0.192,51,0,17,2,8.142857142999999,12,17,0.0,0.0,1.0,1
17,9,0,3,0,0.0,300,0,0,0,0.0,1,6,0.006666667,1.0,0.993333333,0
43,14,0,4,1,0.0,49,0,10,2,4.5,6,10,0.1020408159999999,0.4,0.8979591840000001,0
18,11,0,2,0,0.0,105,0,0,0,0.0,1,6,0.19047619,0.3,0.80952381,0
60,18,0,7,0,0.15,0,1,7,2,4.0,9,10,0.0,0.0,0.0,0
47,27,0,4,0,0.085106383,116,0,8,2,5.0,4,14,0.120689655,0.285714286,0.879310345,1
259,13,0,5,1,0.181467181,9,2,200,1,25.55555556,10,200,0.0,0.0,1.0,1
50,16,0,4,0,0.0,422,0,6,3,4.4,7,6,0.319905213,0.059259259,0.680094787,0
113,15,0,7,0,0.053097345,25,1,19,1,7.181818182000001,13,19,0.56,0.0,0.44,1
60,21,0,6,1,0.0,17,2,9,2,6.5,6,10,0.235294118,0.0,0.764705882,1
25,16,0,3,1,0.0,124,0,0,0,0.0,2,8,0.056451613,0.142857143,0.943548387,0
49,10,0,5,0,0.0,87,2,9,3,5.4,6,9,0.655172414,0.684210526,0.344827586,1
45,11,0,4,0,0.0,87,0,7,2,4.4,6,7,0.114942529,0.0,0.885057471,0
63,21,0,7,0,0.0,159,0,6,2,3.25,10,9,0.075471698,0.333333333,0.924528302,0
31,19,0,4,0,0.0,89,0,3,3,3.0,2,12,0.269662921,0.083333333,0.7303370790000001,0
26,19,0,2,0,0.0,30,0,0,0,0.0,2,8,0.133333333,0.0,0.8666666670000001,0
40,15,0,5,0,0.0,23,1,5,1,3.5,5,12,0.739130435,0.352941176,0.260869565,1
80,72,0,3,0,0.0,0,0,0,0,0.0,4,43,0.0,0.0,0.0,1
24,16,0,3,1,0.0,78,0,0,0,0.0,2,8,0.474358974,0.081081081,0.5256410260000001,0
63,11,0,6,0,0.0,19,3,8,2,4.625,9,8,0.473684211,0.0,0.526315789,1
58,25,0,3,1,0.0,51,0,9,4,5.5,7,9,0.058823529,0.333333333,0.941176471,0
42,18,0,3,0,0.0,24,0,7,7,7.0,5,7,0.25,0.0,0.75,0
65,43,0,4,0,0.076923077,4,0,13,13,13.0,3,20,0.0,0.0,1.0,1
61,27,0,5,0,0.131147541,38,0,4,2,3.333333333,8,14,0.7894736840000001,0.7,0.210526316,1
109,20,1,9,0,0.19266055,1,4,32,2,8.111111111,10,32,0.0,0.0,1.0,1
404,11,1,6,0,0.121287129,17,7,301,3,37.5,11,301,0.470588235,0.125,0.529411765,1
23,16,0,2,0,0.0,70,0,0,0,0.0,2,6,0.1,0.0,0.9,0
99,25,0,6,0,0.03030303,26,1,36,1,8.142857142999999,10,36,0.884615385,0.0,0.115384615,1
32,23,0,3,1,0.0,70,0,0,0,0.0,2,15,0.471428571,0.0606060609999999,0.528571429,0
86,17,0,9,0,0.0,0,2,13,2,5.444444444,12,13,0.0,0.0,0.0,1
61,21,0,5,1,0.0,189,0,8,3,4.5,8,13,0.095238095,0.333333333,0.904761905,0
29,21,0,3,1,0.0,19,0,0,0,0.0,2,13,0.0,0.0,1.0,0
49,25,0,3,1,0.0,204,0,16,16,16.0,3,17,0.1372549019999999,0.0,0.862745098,0
28,19,0,3,0,0.0,42,0,0,0,0.0,2,10,0.142857143,0.0,0.857142857,0
75,14,1,5,0,0.253333333,88,0,32,5,16.33333333,4,32,0.102272727,0.5555555560000001,0.897727273,1
42,33,0,3,0,0.0,9,0,0,0,0.0,2,20,0.8888888890000001,0.375,0.111111111,1
72,31,0,5,0,0.0,12,2,7,1,3.714285714,8,24,0.333333333,0.25,0.666666667,1
39,18,0,3,1,0.0,55,0,7,4,5.5,4,10,0.036363636,0.5,0.963636364,0
135,21,1,6,1,0.207407407,23,2,43,3,14.0,9,43,0.2173913039999999,0.0,0.7826086959999999,1
49,22,0,3,1,0.0,187,0,11,7,9.0,4,14,0.005347594,0.0,0.994652406,0
26,17,0,3,1,0.0,155,0,0,0,0.0,2,10,0.316129032,0.1836734689999999,0.683870968,0
41,24,0,3,1,0.097560976,169,0,4,2,3.0,4,16,0.01183432,0.5,0.98816568,0
31,23,0,3,1,0.0,25,0,0,0,0.0,2,15,0.88,0.1363636359999999,0.12,0
84,32,0,5,1,0.0,16,0,8,5,6.5,10,9,0.5,0.25,0.5,0
158,39,0,7,0,0.056962025,26,0,26,1,7.461538462,16,26,0.884615385,0.0,0.115384615,1
41,13,0,3,1,0.048780488,336,0,6,5,5.666666667,5,6,0.354166667,0.042016807,0.645833333,0
49,21,0,4,0,0.0,237,0,7,2,4.0,6,14,0.147679325,0.114285714,0.852320675,1
31,22,0,3,1,0.0,995,0,0,0,0.0,2,14,0.009045226,0.222222222,0.990954774,0
45,37,0,3,0,0.0,55,0,0,0,0.0,2,24,0.727272727,0.2,0.272727273,0
85,18,1,4,0,0.4352941179999999,0,0,50,3,19.0,6,50,0.0,0.0,0.0,1
63,38,0,4,0,0.0,21,2,7,2,3.5,10,7,0.80952381,0.176470588,0.19047619,1
153,12,1,5,0,0.248366013,1,0,17,1,4.739130435,24,17,0.0,0.0,1.0,1
60,17,0,7,1,0.033333333,100,0,12,1,4.0,9,12,0.53,0.20754717,0.47,0
41,25,0,3,0,0.024390244,1,0,4,3,3.5,4,11,0.0,0.0,1.0,1
26,18,0,2,0,0.0,13,0,0,0,0.0,1,15,0.076923077,2.0,0.923076923,0
43,17,0,3,1,0.0,92,0,7,2,5.333333333,5,7,0.641304348,0.440677966,0.358695652,0
142,25,0,3,0,0.126760563,19,0,67,4,20.6,9,67,0.3684210529999999,0.0,0.6315789470000001,1
48,16,0,5,1,0.0,4,1,8,3,5.25,6,8,0.0,0.0,1.0,1
33,15,0,3,0,0.0,49,0,10,10,10.0,3,10,0.06122449,1.0,0.93877551,0
61,30,0,3,0,0.131147541,74,0,7,2,3.8,7,17,0.864864865,0.46875,0.135135135,1
28,19,0,3,1,0.0,645,0,0,0,0.0,2,9,0.049612403,0.03125,0.950387597,0
32,14,0,4,0,0.125,484,0,4,4,4.0,4,5,0.006198347,0.666666667,0.993801653,0
26,17,0,3,1,0.0,104,0,0,0,0.0,2,9,0.673076923,0.0,0.326923077,0
48,17,0,3,1,0.0,35,0,7,3,4.75,6,9,0.6571428570000001,0.043478261,0.342857143,0
119,42,1,5,0,0.159663866,4,0,17,2,7.375,12,17,0.0,0.0,1.0,1
62,10,1,5,0,0.322580645,48,0,32,5,14.0,4,32,0.0,0.0,1.0,1
61,12,1,5,0,0.147540984,25,1,16,2,5.0,13,16,0.84,0.428571429,0.16,1
22,13,0,3,1,0.0,56,0,0,0,0.0,2,6,0.142857143,0.0,0.857142857,0
79,16,0,3,1,0.0,68,0,9,3,5.222222222,11,9,0.25,0.235294118,0.75,0
45,17,0,4,1,0.0,58,0,4,3,3.75,6,9,0.137931034,0.0,0.8620689659999999,0
43,15,0,3,1,0.046511628,53,0,9,1,4.0,6,9,0.433962264,0.0,0.5660377360000001,0
24,17,0,2,0,0.0,13,0,0,0,0.0,2,7,0.0,0.0,1.0,0
37,28,0,3,1,0.0,115,0,0,0,0.0,4,10,0.1043478259999999,0.583333333,0.8956521740000001,0
46,18,0,7,0,0.0,20,0,5,3,3.75,6,7,0.2,0.0,0.8,1
40,19,0,3,1,0.0,79,0,8,4,6.0,4,11,0.012658228,0.0,0.987341772,0
50,22,0,5,0,0.0,0,0,13,5,9.0,5,13,0.0,0.0,0.0,1
40,14,0,4,1,0.025,67,0,7,2,3.75,6,7,0.104477612,0.571428571,0.895522388,0
59,20,0,4,1,0.0,32,0,10,3,7.0,6,12,0.1875,0.0,0.8125,0
30,21,0,3,1,0.0,34,0,0,0,0.0,2,13,0.147058824,0.2,0.852941176,0
21,12,0,3,1,0.0,171,0,0,0,0.0,2,4,0.0467836259999999,0.0,0.953216374,0
56,20,0,3,1,0.0,4,0,4,1,3.142857143,9,12,0.75,0.0,0.25,0
20,12,0,3,1,0.0,259,0,0,0,0.0,2,5,0.038610039,0.0,0.961389961,0
47,17,0,3,0,0.085106383,23,0,10,2,6.0,4,13,0.0,0.0,1.0,1
48,12,0,7,0,0.0,3,1,9,2,6.0,5,9,0.666666667,0.0,0.333333333,1
55,47,1,3,0,0.290909091,22,0,0,0,0.0,4,30,0.772727273,0.0,0.2272727269999999,1
57,48,1,3,0,0.1578947369999999,0,0,0,0,0.0,7,11,0.0,0.0,0.0,1
42,16,0,4,1,0.0,153,0,16,16,16.0,3,16,0.620915033,0.0,0.3790849670000001,0
25,16,0,3,1,0.0,14,0,0,0,0.0,2,8,0.214285714,0.0,0.7857142859999999,0
16,9,0,2,0,0.0,13,0,0,0,0.0,1,5,0.307692308,0.0,0.692307692,0
36,29,0,2,0,0.0,224,0,0,0,0.0,3,9,0.642857143,0.5902777779999999,0.357142857,0
31,22,0,3,1,0.0,67,0,0,0,0.0,2,11,0.059701493,1.0,0.940298507,0
41,16,1,4,1,0.1707317069999999,132,0,9,7,8.0,4,9,0.113636364,0.066666667,0.8863636359999999,0
58,16,0,4,0,0.034482759,155,1,9,2,4.833333333,7,12,0.058064516,0.444444444,0.941935484,1
47,21,0,4,0,0.042553191,24,0,11,6,8.5,4,12,0.0,0.0,1.0,1
46,15,0,4,1,0.0,55,0,17,4,10.5,4,17,0.527272727,0.137931034,0.4727272729999999,0
157,21,1,3,1,0.363057325,31,1,23,2,9.75,14,23,0.516129032,0.4375,0.4838709679999999,1
38,29,0,3,0,0.0,102,0,0,0,0.0,2,15,0.4019607839999999,0.0,0.598039216,0
76,25,0,7,0,0.078947368,25,0,11,2,5.1428571430000005,9,17,0.4,0.5,0.6,1
30,13,0,3,1,0.0,50,1,4,3,3.5,4,5,0.24,0.583333333,0.76,0
89,30,0,5,0,0.06741573,0,0,11,1,4.666666667,12,11,0.0,0.0,0.0,0
29,22,0,2,0,0.0,32,0,0,0,0.0,1,16,0.34375,0.0,0.65625,0
68,30,0,4,0,0.0,60,0,9,5,6.5,6,16,0.716666667,0.046511628,0.283333333,0
54,19,0,3,1,0.0,99,0,22,4,13.0,4,22,0.0606060609999999,0.666666667,0.939393939,0
19,12,0,2,1,0.0,98,0,0,0,0.0,2,5,0.918367347,0.0,0.081632653,0
41,12,0,4,1,0.048780488,21,0,9,2,4.25,6,9,0.80952381,0.176470588,0.19047619,0
22,13,0,3,1,0.0,168,0,0,0,0.0,2,5,0.083333333,0.285714286,0.916666667,0
41,33,0,3,1,0.0,103,0,0,0,0.0,5,8,0.067961165,0.285714286,0.932038835,1
40,32,0,2,0,0.125,0,0,0,0,0.0,4,15,0.0,0.0,0.0,1
32,23,0,3,1,0.0,393,0,0,0,0.0,2,15,0.0407124679999999,0.125,0.959287532,0
30,22,0,3,0,0.0,210,0,0,0,0.0,2,9,0.4428571429999999,0.462365591,0.557142857,0
66,23,0,3,0,0.075757576,69,0,7,3,5.0,8,13,0.289855072,0.35,0.710144928,0
59,19,0,6,0,0.0,0,3,12,2,7.0,5,15,0.0,0.0,0.0,1
27,18,0,3,0,0.0,69,0,0,0,0.0,1,15,0.1884057969999999,0.076923077,0.811594203,0
41,16,0,4,0,0.0,1133,0,5,4,4.666666667,5,9,0.060900265,0.304347826,0.939099735,0
88,14,0,5,1,0.0,308,0,9,2,4.583333333,14,9,0.029220779,0.222222222,0.970779221,0
41,33,0,3,0,0.0,19,0,0,0,0.0,2,22,0.105263158,0.0,0.894736842,1
29,11,0,3,0,0.0,25,0,9,9,9.0,2,9,0.48,0.0,0.52,0
30,22,0,3,1,0.0,41,0,0,0,0.0,2,14,0.414634146,0.0,0.585365854,0
56,16,0,4,0,0.0,719,0,9,2,5.4,7,9,0.015299026,0.272727273,0.984700974,0
41,13,0,4,1,0.1707317069999999,0,0,6,3,4.25,6,6,0.0,0.0,0.0,0
52,23,1,4,0,0.192307692,0,0,11,3,6.0,5,11,0.0,0.0,0.0,1
41,20,0,3,1,0.0,887,0,8,3,5.5,4,12,0.009019166,0.0,0.990980834,0
56,30,0,4,0,0.0,0,0,7,3,5.333333333,6,13,0.0,0.0,0.0,1
54,22,0,6,1,0.0,4,0,5,2,4.0,7,11,0.0,0.0,1.0,1
57,40,0,3,0,0.087719298,33,1,5,3,4.0,6,13,0.727272727,0.125,0.272727273,1
33,16,0,4,0,0.0,543,0,4,3,3.5,4,9,0.0515653779999999,0.214285714,0.948434622,0
50,15,0,5,1,0.12,207,0,7,4,6.0,6,7,0.169082126,0.2,0.8309178740000001,0
70,21,0,5,0,0.0,23,2,7,3,4.857142857,8,17,0.7826086959999999,0.333333333,0.2173913039999999,1
41,22,0,5,1,0.0,8,0,6,3,4.5,4,14,0.125,1.0,0.875,1
89,43,0,6,0,0.0,3,2,13,2,5.5,7,39,0.0,0.0,1.0,1
141,36,0,7,0,0.04964539,19,1,34,1,7.636363636,14,34,0.263157895,0.0,0.736842105,1
183,22,1,5,1,0.081967213,68,0,18,1,6.5,22,18,0.544117647,0.216216216,0.4558823529999999,1
40,14,0,4,0,0.0,136,0,9,8,8.5,3,10,0.036764706,0.2,0.963235294,0
27,18,0,3,1,0.0,255,0,0,0,0.0,2,10,0.015686275,0.0,0.984313725,0
38,18,0,4,1,0.0,510,0,5,5,5.0,4,10,0.058823529,0.1,0.941176471,0
